station_code,station_name,blk_no,building,latitude,longitude,postal,road_name,searchval,type
DT25,Mattar,60,MATTAR MRT STATION,1.32687671501337,103.883247509542,379314,MERPATI ROAD,MATTAR MRT STATION,mrt
DT26,MacPherson,10,MACPHERSON MRT STATION,1.32615024293134,103.889298596024,378956,CIRCUIT LINK,MACPHERSON MRT STATION,mrt
DT27,Ubi,51,UBI MRT STATION,1.32997462900521,103.899226655449,408899,UBI AVENUE 2,UBI MRT STATION,mrt
DT28,Kaki Bukit,30,KAKI BUKIT MRT STATION,1.33496730163706,103.908459734312,415804,KAKI BUKIT AVENUE 1,KAKI BUKIT MRT STATION,mrt
DT29,Bedok North,651,BEDOK NORTH MRT STATION,1.33474211664093,103.91797832995,479481,BEDOK NORTH ROAD,BEDOK NORTH MRT STATION,mrt
DT30,Bedok Reservoir,371,BEDOK RESERVOIR MRT STATION,1.33660782955102,103.932234623286,469724,BEDOK NORTH AVENUE 3,BEDOK RESERVOIR MRT STATION,mrt
DT31,Tampines West,2,TAMPINES WEST MRT STATION,1.34551530560122,103.938436971222,529683,TAMPINES AVENUE 4,TAMPINES WEST MRT STATION,mrt
DT32,Tampines,20,TAMPINES MRT STATION,1.35330153265954,103.945144689278,529538,TAMPINES CENTRAL 1,TAMPINES MRT STATION,mrt
DT33,Tampines East,20,TAMPINES EAST MRT STATION,1.35619148271548,103.9546344625,529623,TAMPINES AVENUE 7,TAMPINES EAST MRT STATION,mrt
DT34,Upper Changi,690,UPPER CHANGI MRT STATION,1.34173978431351,103.961472614026,485990,UPPER CHANGI ROAD EAST,UPPER CHANGI MRT STATION,mrt
DT35,Expo,2,EXPO MRT STATION,1.33538252614957,103.962374747451,485985,EXPO DRIVE,EXPO MRT STATION,mrt
